Key	English	Welsh	Comments
page.tcs.workandhours.endedajob.employerAddress	Employer address		No Welsh translation found
page.tcs.workandhours.previousjobs.intro.partner.title	Tell us about your partner’s previous jobs		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.amountPaid.range	Estimated earnings must be 9999999999.99 or less		No Welsh translation found
page.tcs.change-bank-details.new_bank_account_number	New bank account number, or building society roll or reference number		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.hoursWorked.label	Hours you work a week		No Welsh translation found
page.tcs.workandhours.howmanyhours.blank.employed	Enter how many hours you normally work a week		No Welsh translation found
page.tcs.workandhours.startajobhavebenefitsended.title	Has your benefit ended or do you expect it to end?		No Welsh translation found
page.tcs.children.add-a-child.child.will.be.on.your.claim.until.31.august.part.of.job.p1	You said the course will be part of {0}’s job.		No Welsh translation found
page.tcs.personal.doYouLiveInTheUK.edit	if you live in the UK		No Welsh translation found
page.tcs.children.add-a-child.education-training-careers.child-left-school-ul-header	If your child is 16 or older and has left school, you must tell us if they have:		No Welsh translation found
page.tcs.addchildcare.childcare-how-many-times-a-year-do-you-pay.error.invalid	The number of times you pay {0} a year must be {1} or less because you pay them {2}		No Welsh translation found
page.renewals.renewals_homepage.children.change.add_child	Add a child		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.subsectiontitle	Help to work out your normal hours		No Welsh translation found
page.tcs.workandhours.howmanyhours.p7	Not sure about your normal hours		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.firstJobTheyHaveToldAbout-empty	Select yes if this is the first job that you have added to your tax credits claim		No Welsh translation found
page.tcs.childcare.short.term.summary.how-much-you-pay-different-amount-edit	how much do you pay {0} {1} when you do not pay them {2}		No Welsh translation found
page.tcs.children.add-a-child.confirm-end-education-answers-title	Confirm your answers		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.table2-edit	when you did or will stop paying {0}		No Welsh translation found
site.invalidDate	Enter a valid date		No Welsh translation found
page.tcs.childcare.provider-notification.p4	who they care for		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p1.FINALISEDNORESUBMIT	You will get an award notice in the next 2 weeks.		No Welsh translation found
page.tcs.children.connexionschange.dateofbirth	What is their date of birth?		No Welsh translation found
page.tcs.workandhours.self-employed-summary.partner.edit-typeofwork	if {0} is employed or self-employed in their new job		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.amountPaid.range	How much they got paid must be 9999999999.99 or less		No Welsh translation found
page.tcs.renewals.changes_other.prison.p1	Tell us if you were sent to prison or a young offenders’ institution and include:		No Welsh translation found
page.tcs.children.training.firstname	What are their first and middle names?		No Welsh translation found
page.tcs.children.changeachilddob.dateofbirth.future	Enter a date of birth that is today or in the past		No Welsh translation found
dashboard.viewchangedetails.you.add-an-other-childcare-provider	Add another childcare provider		No Welsh translation found
page.tcs.renewals.changes_other.textbox_label	Report any other changes		No Welsh translation found
page.tcs.children.educationandtraining.howmanyhours	If they are in education, how many hours are they taught or supervised in a week during term time?		No Welsh translation found
page.tcs.workandhours.deductions.partner.statutoryAdoption	Statutory Adoption Pay		No Welsh translation found
page.tcs.childcare.changechildcare.do-you-still-pay-with-own-money.p1	“Your own money” does not include childcare vouchers or any money that is paid directly to your childcare provider by someone else.		No Welsh translation found
page.tcs.personal.change_telephone_number.title-your-number	What are your telephone numbers?		No Welsh translation found
page.tcs.children.add-a-child.ineligible.study12HoursOrMore.p4	 You can only add a child to your claim if they study for an average of more than 12 hours a week.		No Welsh translation found
page.renewals.renewals_homepage.children.change.child_dob	Correct a child’s date of birth		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.amountPaid.invalid	Enter a valid amount		No Welsh translation found
partial.tcs.excluded_users.p2	If you need to tell us about a change of circumstances, then call the <a href={0}>Tax Credits Helpline</a>.		No Welsh translation found
page.tcs.workandhours.previousjobsendedcontext.selfemployed.intro.title	You do not need to tell us about income from this job		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.amounPaid.label	Amount you got paid		No Welsh translation found
page.tcs.child-exception-acknowledgement.p3	The new rules do not affect childcare costs you can get help with or the disabled and severely disabled child elements.		No Welsh translation found
page.tcs.children.childDisability.no-change.you-said-cblind	You said {0} is certified blind.		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.edit_link_hidden_text	 how many self-employed hours a week you normally work		No Welsh translation found
page.tcs.workandhours.startjobdate.employmentagency	If you work for an employment agency, enter the date you started your job, not the date you registered with the agency.		No Welsh translation found
page.tcs.changes_other.error	This field is required		No Welsh translation found
dashboard.viewchangedetails.yourpartner.address	Address		No Welsh translation found
page.tcs.workandhours.startjobdate.previous.partner.tellUsDateYouStartedWork	Enter the date {0}’s job started		No Welsh translation found
did.partner.move.with.you	Did {0} move with you?		No Welsh translation found
page.tcs.children.add-a-child.ringus.registered_with_connexions.h1	You cannot use the online service to add {0} to your claim		No Welsh translation found
page.tcs.children.changeachildname.changeLastname.error	Enter the child’s new last name		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.PARTIALLY	You must renew your tax credits by <span class="no-wrap">31 July {0}.</span>		No Welsh translation found
page.children.cannot-change.li2	is not certified blind		No Welsh translation found
page.tcs.workandhours.amendajob.you.service_title	Change how many hours you worked in a week		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-incapacitated.line1	working for 16 hours or more a week		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.li2	start date		No Welsh translation found
page.tcs.renewals.changes_other.started.li7	Employment and Support Allowance (income-related)		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.how-much-you-pay	How much you normally pay {0} {1}		No Welsh translation found
page.tcs.workandhours.startajobhavebenefitsended.benefits.summary	Have your benefits ended?		No Welsh translation found
page.tcs.childcare.changechildcare.stopped.childcare.date.error-empty	Enter the date you stopped paying {0} with your own money		No Welsh translation found
page.tcs.childcare.changechildcare.cannot-add-a-childcare.start-date-ineligible.p2	This is too far in the future. You can tell us you are going to change what you pay {0} on Monday {1}.		No Welsh translation found
page.tcs.children.add-a-child.does-child-do-approved-training.li2	Employability Fund programmes in Scotland		No Welsh translation found
page.tcs.childcare.no-notification.p1	You said your total average weekly childcare costs have not changed by £10 or more.		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.summary.change-this	Edit child’s disability status		No Welsh translation found
page.tcs.workandhours.hasmadeprofit.partner.text1	Self-employed profit is the estimated profit from all {0}’s businesses and working outside the UK. It does not include income from renting out property.		No Welsh translation found
page.tcs.workandhours.typeofwork.partner.title	In your partner’s new job, are they employed or self-employed?		No Welsh translation found
